ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM_ID
1,Stefano,Pioli,Italy,1965-10-19,1
2,Alfred,Schreuder,Netherlands,1972-11-02,2
3,Gian Piero,Gasperini,Italy,1958-01-26,3
4,Diego,Simeone,Argentina,1970-04-28,4
5,Julian,Nagelsmann,Germany,1987-07-23,5
6,Valérien,Ismaël,France,1975-09-28,6
7,Edin,Terzić,Germany,1982-10-30,7
8,Raphaël,Wicky,Switzerland,1977-04-26,8
9,Graham,Potter,England,1975-05-20,9
10,Carl,Hoefkens,Belgium,1978-10-06,10
11,Mircea,Lucescu,Romania,1945-07-29,11
12,Calvin,Xavi,Spain,1980-01-25,12
13,Sérgio,Conceição,Portugal,1974-11-15,13
14,Stjepan,Tomas,Croatia,1976-06-03,14
15,Simone,Inzaghi,Italy,1976-04-05,15
16,Massimiliano,Allegri,Italy,1967-08-11,16
17,Paulo,Fonseca,Portugal,1973-03-05,17
18,Jürgen,Klopp,Germany,1967-06-16,18
19,Åge,Hareide,Norway,1953-09-23,19
20,Pep,Guardiola,Spain,1971-01-18,20
21,Erik ten,Hag,Netherlands,1970-02-02,21
22,Christophe,Galtier,France,1966-08-26,22
23,Marco,Rose,Germany,1976-09-11,23
24,Matthias,Jaissle,Germany,1988-04-05,24
25,Carlo,Ancelotti,Italy,1959-06-10,25
26,Chris,Lopetegui,Spain,1966-09-28,26
27,Igor,Jovićević,Croatia,1973-11-30,27
28,Roger,Schmidt,Germany,1967-03-13,28
29,Rúben,Amorim,Portugal,1985-01-27,29
30,Niko,Kovač,Croatia,1971-10-15,30
31,Unai,Emery,Spain,1971-11-03,31
32,Sergey,Semak,Russia,1976-02-27,32
33,Daniel,Farke,Germany,1976-10-30,33
34,Albert,Capellas,Spain,1967-10-01,34
35,Stanislav,Cherchesov,Russia,1963-09-02,35
36,Aleksandr,Storozhuk,Russia,1981-08-10,36
37,Emre,Belözoğlu,Turkey,1980-09-07,37
38,Maurizio,Sarri,Italy,1959-01-10,38
39,Joe,Zinnbauer,Germany,1970-05-01,39
40,Carlos,Corberán,Spain,1983-04-07,40
41,,Míchel,Spain,1963-03-23,40
42,Igor,Tudor,Croatia,1978-04-16,41
43,Bruno,Génésio,France,1966-09-01,42
44,Xabi,Alonso,Spain,1981-11-25,43
45,Miloš,Milojević,Serbia,1982-09-29,44
46,Ante,Čačić,Croatia,1953-09-29,45
47,Okan,Buruk,Turkey,1973-10-19,46
48,Wouter,Vrancken,Belgium,1979-02-03,47
49,Peter,Bosz,Netherlands,1963-11-21,48
50,Luciano,Spalletti,Italy,1959-03-07,50
51,Antonio,Conte,Italy,1969-07-31,51
52,Gennaro,Gattuso,Italy,1978-01-09,52
53,André,Breitenreiter,Germany,1973-10-02,53
54,Matías,Almeyda,Argentina,1973-12-21,54
55,Philippe,Clement,Belgium,1974-03-22,55
56,José,Mourinho,Portugal,1963-01-26,56
57,Vladimir,Fedotov,Russia,1966-08-12,57
58,Frank,Kramer,Germany,1972-05-03,58
59,Ruud van,Nistelrooy,Netherlands,1976-07-01,59
60,Sofronis,Avgousti,Cyprus,1977-03-09,61
61,Ange,Postecoglou,Australia,1965-08-27,62
62,Alexander,Frei,Switzerland,1979-07-15,63
63,Arne,Slot,Netherlands,1978-09-17,64
64,Damir,Krznar,Croatia,1972-07-10,65
65,Qurban,Qurbanov,Azerbaijan,1972-04-13,66
66,Felice,Mazzù,Belgium,1966-03-12,67
67,Guillermo,Abascal,Spain,1989-04-13,68
68,Fernando,Torres,Spain,1984-03-20,68
69,Dmitriy,Kombarov,Russia,1987-01-22,69
70,Sandro,Wagner,Germany,1987-11-29,70
71,Stephan,Lichtsteiner,Switzerland,1984-01-16,71
72,Mikel,Arteta,Spain,1982-03-26,69
73,Jacob,Neestrup,Denmark,1988-03-08,70
74,Valeriy,Karpin,Russia,1969-02-02,71
75,Kosta,Runjaic,Germany,1971-06-04,72
76,Brendan,Rodgers,Northern Ireland,1973-01-26,73
77,Ante,Šimundža,Slovenia,1971-09-28,74
78,Nuri,Şahin,Turkey,1988-09-05,65
