MATCH_ID,DATE_TIME,HOME_TEAM_ID,AWAY_TEAM_ID,STADIUM_ID,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,PENALTY_SHOOT_OUT,ATTENDANCE
mt1,9/15/2021 20:00,20,23,19,6,3,0,38062
mt2,9/15/2021 20:00,10,22,10,1,1,0,27546
mt3,9/28/2021 20:00,22,20,21,2,0,0,37350
mt4,9/28/2021 20:00,23,10,22,1,2,0,23500
mt5,10/19/2021 17:45,10,20,10,1,5,0,24915
mt6,10/19/2021 20:00,22,23,21,3,2,0,47359
mt7,11/3/2021 20:00,23,22,22,2,2,0,39794
mt8,11/3/2021 20:00,20,10,19,4,1,0,50228
mt9,11/24/2021 20:00,20,22,19,2,1,0,52030
mt10,11/24/2021 20:00,10,23,10,0,5,0,24072
mt11,12/7/2021 17:45,23,20,22,2,1,0,0
mt12,12/7/2021 17:45,22,10,21,4,1,0,47492
mt13,9/15/2021 20:00,4,13,4,0,0,0,40098
mt14,9/15/2021 20:00,18,1,17,3,2,0,51445
mt15,9/28/2021 20:00,13,18,13,1,5,0,23520
mt16,9/28/2021 20:00,1,4,1,1,2,0,35374
mt17,10/19/2021 20:00,4,18,4,2,3,0,60725
mt18,10/19/2021 20:00,13,1,13,1,0,0,32130
mt19,11/3/2021 17:45,1,13,1,1,1,0,39675
mt20,11/3/2021 20:00,18,4,17,2,0,0,51347
mt21,11/24/2021 20:00,18,13,17,2,0,0,52209
mt22,11/24/2021 20:00,4,1,4,0,1,0,61019
mt23,12/7/2021 20:00,13,4,13,1,3,0,38830
mt24,12/7/2021 20:00,1,18,1,1,2,0,56237
mt25,9/15/2021 17:45,6,7,6,1,2,0,22445
mt26,9/15/2021 20:00,29,2,27,1,5,0,20382
mt27,9/28/2021 17:45,2,6,2,2,0,0,52628
mt28,9/28/2021 20:00,7,29,7,1,0,0,25000
mt29,10/19/2021 17:45,6,29,6,1,4,0,22936
mt30,10/19/2021 20:00,2,7,2,4,0,0,54029
mt31,11/3/2021 20:00,7,2,7,1,3,0,54820
mt32,11/3/2021 20:00,29,6,27,4,0,0,40835
mt33,11/24/2021 17:45,6,2,6,1,2,0,11712
mt34,11/24/2021 20:00,29,7,27,3,1,0,41341
mt35,12/7/2021 20:00,2,29,2,4,2,0,0
mt36,12/7/2021 20:00,7,6,7,5,0,0,15000
mt37,9/15/2021 17:45,14,27,14,2,0,0,5205
mt38,9/15/2021 20:00,15,25,1,0,1,0,37082
mt39,9/28/2021 17:45,27,15,11,0,0,0,26170
mt40,9/28/2021 20:00,25,14,23,1,2,0,24522
mt41,10/19/2021 20:00,27,25,11,0,5,0,34037
mt42,10/19/2021 20:00,15,14,1,3,1,0,43305
mt43,11/3/2021 17:45,25,27,23,2,1,0,38105
mt44,11/3/2021 20:00,14,15,14,1,3,0,5930
mt45,11/24/2021 17:45,15,27,1,2,0,0,46225
mt46,11/24/2021 20:00,14,25,14,0,3,0,5932
mt47,12/7/2021 20:00,25,15,23,2,0,0,46887
mt48,12/7/2021 20:00,27,14,11,1,1,0,6841
mt49,9/14/2021 20:00,12,5,12,0,3,0,39737
mt50,9/14/2021 20:00,11,28,11,0,0,0,21657
mt51,9/29/2021 20:00,28,12,26,3,0,0,29454
mt52,9/29/2021 20:00,5,11,5,5,0,0,25000
mt53,10/20/2021 17:45,12,11,12,1,0,0,45968
mt54,10/20/2021 20:00,28,5,26,0,4,0,50000
mt55,11/2/2021 20:00,5,28,5,5,2,0,50000
mt56,11/2/2021 20:00,11,12,11,0,1,0,31378
mt57,11/23/2021 17:45,11,5,11,1,2,0,28732
mt58,11/23/2021 20:00,12,28,12,0,0,0,49572
mt59,12/8/2021 20:00,5,12,5,3,0,0,0
mt60,12/8/2021 20:00,28,11,26,2,0,0,37000
mt61,9/14/2021 17:45,8,21,8,2,1,0,31120
mt62,9/14/2021 20:00,31,3,29,2,2,0,12916
mt63,9/29/2021 17:45,3,8,3,1,0,0,8536
mt64,9/29/2021 20:00,21,31,20,2,1,0,73130
mt65,10/20/2021 20:00,21,3,20,3,2,0,72279
mt66,10/20/2021 20:00,8,31,8,1,4,0,27398
mt67,11/2/2021 20:00,3,21,3,2,2,0,14443
mt68,11/2/2021 20:00,31,8,29,2,0,0,14890
mt69,11/23/2021 17:45,31,21,29,0,2,0,20875
mt70,11/23/2021 20:00,8,3,8,3,3,0,31120
mt71,12/8/2021 20:00,21,8,20,1,1,0,73156
mt72,12/9/2021 18:00,3,31,3,2,3,0,11690
mt73,9/14/2021 17:45,26,24,24,1,1,0,18373
mt74,9/14/2021 20:00,17,30,16,0,0,0,34314
mt75,9/29/2021 20:00,24,17,22,2,1,0,24207
mt76,9/29/2021 20:00,30,26,28,1,1,0,11733
mt77,10/20/2021 17:45,24,30,22,3,1,0,27500
mt78,10/20/2021 20:00,17,26,16,0,0,0,34362
mt79,11/2/2021 17:45,30,24,28,2,1,0,16112
mt80,11/2/2021 20:00,26,17,24,1,2,0,29369
mt81,11/23/2021 20:00,17,24,16,1,0,0,33573
mt82,11/23/2021 20:00,26,30,24,2,0,0,28663
mt83,12/8/2021 20:00,24,26,22,1,0,0,0
mt84,12/8/2021 20:00,30,17,28,1,3,0,6544
mt85,9/14/2021 20:00,9,32,9,1,0,0,39252
mt86,9/14/2021 20:00,19,16,18,0,3,0,5832
mt87,9/29/2021 17:45,32,19,30,4,0,0,15339
mt88,9/29/2021 20:00,16,9,15,1,0,0,19934
mt89,10/20/2021 20:00,32,16,30,0,1,0,18717
